"Year","County","Population","Area","Urban_pop","Density","Prop_urban"
1930,"Hancock",40404,533.5929542,21512,75.7206400159022,0.532422532422532
1930,"Hardin",27635,470.5338155,7069,58.731166793261,0.255798805862131
1930,"Harrison",18844,410.7887208,2597,45.8727298142505,0.137815750371471
1930,"Henry",22524,419.9748001,4545,53.6317893231613,0.201784762919552
1930,"Highland",25416,557.8397218,7911,45.5614740341354,0.311260623229462
1930,"Hocking",20407,423.5991399,6080,48.1752630678559,0.297936982407997
1930,"Holmes",16726,424.0182617,0,39.4464142486248,0
1930,"Huron",33700,494.5126957,15934,68.1478964909009,0.472818991097923
1930,"Jackson",25040,421.4991208,11241,59.4070041059028,0.448921725239617
1930,"Jefferson",88307,410.8725212,47496,214.925543674932,0.537850906496654
1930,"Knox",29338,529.5310711,9370,55.4037366288174,0.319381007566978
1930,"Lake",41674,231.713917,20168,179.851087666866,0.483946825358737
1930,"Lawrence",44541,457.2767256,16621,97.4049137129318,0.373161805976516
1930,"Licking",59962,688.3791723,30596,87.1060636533439,0.510256495780661
1930,"Logan",28981,466.7751359,9543,62.0877115575598,0.329284703771436
1930,"Lorain",109206,494.6682882,77281,220.766122682695,0.707662582641979
1930,"Lucas",347709,347.0145405,295306,1002.0012403486,0.849290642462519
1930,"Madison",20253,465.9406905,4141,43.4669055803359,0.204463536266232
1930,"Mahoning",236142,423.3810368,202333,557.752897448618,0.856827671485801
1930,"Marion",45420,404.14415,31084,112.385642598068,0.684368119771026
1930,"Medina",29677,423.1117488,10001,70.1398627766018,0.336994979276881
1930,"Meigs",23961,432.3764235,7068,55.416990144931,0.294979341429823
1930,"Mercer",25096,473.2922692,4664,53.0243184458082,0.185846350015939
1930,"Miami",51301,409.2189093,27243,125.363219621875,0.531042279877585
1930,"Monroe",18426,457.4577711,0,40.2791277448254,0
1930,"Montgomery",273481,464.3444281,212994,588.961519618157,0.778825585689682
1930,"Morgan",13583,421.8582103,0,32.1980221514252,0
1930,"Morrow",14489,407.3550166,0,35.5684830419737,0
1930,"Muskingum",67398,672.5903452,36440,100.206612362178,0.540668862577525
1930,"Noble",14961,404.5847632,0,36.9786540690962,0
1930,"Ottawa",24109,267.0984085,4408,90.2626119541255,0.182836285204695
1930,"Paulding",15301,418.8962125,0,36.5269475908666,0
1930,"Perry",31445,412.5924782,7152,76.2132168215567,0.227444744792495
1930,"Pickaway",27238,506.7893478,7369,53.7461967546114,0.270541155738307
1930,"Pike",13876,443.941743,0,31.2563533814841,0
1930,"Portage",42682,507.1042042,16394,84.1681051872455,0.384096340377677
1930,"Preble",22455,426.3253099,3347,52.6710459795763,0.149053662881318
1930,"Putnam",25074,484.2260971,0,51.7815957259772,0
1930,"Richland",65902,500.3257215,39723,131.718193105129,0.602758641619374
1930,"Ross",45181,692.9600379,18340,65.2000079786996,0.405922843673225
1930,"Sandusky",39731,412.3483058,19193,96.3530089517831,0.483073670433666
1930,"Scioto",81221,616.0733749,48491,131.836569001515,0.597025399835018
1930,"Seneca",47941,552.3652955,27069,86.7922014481447,0.564631526251017
1930,"Shelby",24924,411.0359548,9301,60.6370311622189,0.373174450329
1930,"Stark",221784,580.9081748,161448,381.788395517687,0.727951520398225
1930,"Summit",344131,420.0610528,298771,819.240435898846,0.868189730073722
1930,"Trumbull",123063,634.714985,74863,193.887024740719,0.608330692409579
1930,"Tuscarawas",68193,571.4823452,37312,119.326520885146,0.547152933585559
1930,"Union",19192,436.9747083,3639,43.9201620493421,0.189610254272614
1930,"Van Wert",26273,410.4847746,11089,64.0048099849792,0.422068283028204
1930,"Vinton",10287,414.9590297,0,24.7903992050423,0
1930,"Warren",27348,407.1390756,7713,67.1711502014325,0.282031592803861
1930,"Washington",42437,640.1477126,14285,66.2925121260521,0.336616631712892
1930,"Wayne",47024,556.3108323,17954,84.5282839551855,0.381805035726438
1930,"Williams",24316,423.0502233,8366,57.4778091601589,0.344053298239842
1930,"Wood",50320,620.5390077,9870,81.0907926425267,0.196144674085851
1930,"Wyandot",19036,407.620576,6611,46.7002921854465,0.347289346501366
1940,"Adams",21705,585.7857056,NA,37.0527989886136,NA
1940,"Allen",73303,406.8799744,NA,180.158780505468,NA
1940,"Ashland",29785,426.8442688,NA,69.779547664387,NA
1940,"Ashtabula",68674,709.765564,NA,96.7558916397359,NA
1940,"Athens",46166,508.5371094,NA,90.7819688015869,NA
1940,"Auglaize",28037,401.717804,NA,69.7927742331281,NA
1940,"Belmont",95614,541.3875122,NA,176.609171518308,NA
1940,"Brown",21638,495.2166443,NA,43.6940079641019,NA
1940,"Butler",120249,470.2001648,NA,255.740020957134,NA
1940,"Carroll",17449,399.0057983,NA,43.7311940687154,NA
1940,"Champaign",25258,429.7047729,NA,58.7798916673378,NA
